neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
Bayview,2014-05-03,2,1,Entire home,Entire home/apt,6,3,255.0,5.545177444479562,3
North Beach,2013-05-14,3,1,Entire rental unit,Entire home/apt,4,3,165.0,5.111987788356544,0
Mission,2019-09-07,1,1,Entire rental unit,Entire home/apt,4,1,150.0,5.017279836814924,3
Bernal Heights,2019-08-14,1,1,Entire home,Entire home/apt,4,2,299.0,5.703782474656201,3
Russian Hill,2012-11-22,2,1,Entire serviced apartment,Entire home/apt,6,2,799.0,6.684611727667927,0
Mission,2019-09-13,1,0,Private room in condo,Private room,2,1,127.0,4.852030263919617,1
Western Addition,2015-08-15,2,1,Private room in condo,Private room,3,2,131.0,4.882801922586371,1
Pacific Heights,2019-09-13,1,0,Entire rental unit,Entire home/apt,2,1,135.0,4.912654885736052,0
Outer Mission,2012-08-24,3,1,Entire guest suite,Entire home/apt,2,1,148.0,5.003946305945459,4
Pacific Heights,2013-10-08,1,1,Private room in condo,Private room,2,2,50.0,3.9318256327243257,0
Nob Hill,2015-01-21,3,1,Room in aparthotel,Entire home/apt,4,2,386.0,5.958424693029782,0
Marina,2019-02-19,1,1,Private room in home,Private room,6,3,525.0,6.26530121273771,1
Western Addition,2019-06-11,55,1,Private room in home,Private room,2,1,60.0,4.110873864173311,1
Mission,2019-06-11,55,1,Private room in home,Private room,2,1,60.0,4.110873864173311,1
Nob Hill,2019-06-11,55,1,Private room in home,Private room,2,1,50.0,3.9318256327243257,0
Outer Sunset,2011-08-18,16,1,Entire rental unit,Entire home/apt,1,1,110.0,4.709530201312334,2
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,3,1,95.0,4.564348191467836,0
Castro/Upper Market,2018-11-11,1,1,Entire home,Entire home/apt,4,2,170.0,5.14166355650266,1
Outer Sunset,2019-09-16,1,1,Private room in home,Private room,4,3,175.0,5.170483995038151,2
South of Market,2018-05-09,2,1,Private room in home,Private room,1,1,50.0,3.9318256327243257,0
Outer Richmond,2017-06-06,3,1,Entire rental unit,Entire home/apt,6,3,445.0,6.100318952020064,2
Inner Sunset,2014-05-22,1,1,Entire condo,Entire home/apt,2,1,186.0,5.231108616854587,2
