neighbourhood,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,host_duration_days,log_price,location_cluster
Bernal Heights,3,1,Private room in rental unit,Private room,2,1,99.0,1885,4.605170185988092,3
Downtown/Civic Center,46,1,Entire serviced apartment,Entire home/apt,2,1,91.0,2764,4.5217885770490405,0
Financial District,46,1,Entire serviced apartment,Entire home/apt,2,1,91.0,2764,4.5217885770490405,0
Chinatown,46,1,Entire serviced apartment,Entire home/apt,2,1,91.0,2764,4.5217885770490405,0
South of Market,1,1,Entire rental unit,Entire home/apt,6,4,642.0,3467,6.466144724237619,0
Outer Richmond,1,1,Entire home,Entire home/apt,6,4,288.0,2985,5.666426688112432,2
Outer Sunset,1,1,Entire home,Entire home/apt,4,2,132.0,232,4.890349128221754,2
South of Market,1,1,Entire condo,Entire home/apt,6,3,224.0,253,5.41610040220442,0
South of Market,11,1,Entire rental unit,Entire home/apt,6,2,295.0,618,5.69035945432406,0
Western Addition,1,1,Entire rental unit,Entire home/apt,5,4,364.0,2259,5.8998973535824915,0
Russian Hill,2,1,Entire rental unit,Entire home/apt,6,3,395.0,2646,5.981414211254481,0
Mission,1,1,Entire rental unit,Entire home/apt,4,2,189.0,231,5.247024072160486,1
Russian Hill,1,1,Entire home,Entire home/apt,6,4,174.0,622,5.1647859739235145,0
Downtown/Civic Center,8,1,Room in boutique hotel,Private room,2,1,216.0,1624,5.37989735354046,0
Noe Valley,2,1,Entire guest suite,Entire home/apt,5,3,219.0,3131,5.393627546352362,3
Bernal Heights,2,1,Entire home,Entire home/apt,6,4,184.0,619,5.220355825078324,3
Financial District,1,1,Entire rental unit,Entire home/apt,5,3,486.0,230,6.18826412308259,0
Western Addition,29,1,Room in hotel,Private room,2,1,99.0,388,4.605170185988092,0
Potrero Hill,2,1,Entire rental unit,Entire home/apt,5,2,175.0,260,5.170483995038151,3
Marina,20,1,Private room in home,Private room,1,1,65.0,1112,4.189654742026425,0
Marina,20,1,Private room in home,Private room,1,1,64.0,1112,4.174387269895637,0
Mission,20,1,Private room in rental unit,Private room,1,1,150.0,1112,5.017279836814924,1
Western Addition,1,1,Entire rental unit,Entire home/apt,2,0,139.0,227,4.941642422609304,1
Inner Sunset,1,1,Entire home,Entire home/apt,6,3,272.0,2786,5.60947179518496,2
Outer Mission,1,0,Entire rental unit,Entire home/apt,4,2,122.0,649,4.812184355372417,4
Presidio,1,1,Entire rental unit,Entire home/apt,4,2,220.0,2945,5.3981627015177525,2
Bernal Heights,7,1,Entire rental unit,Entire home/apt,6,4,398.0,2072,5.988961416889864,3
Potrero Hill,1,1,Private room in rental unit,Private room,3,1,140.0,3636,4.948759890378168,3
Chinatown,13,1,Entire serviced apartment,Entire home/apt,2,1,262.0,283,5.572154032177765,0
Chinatown,13,1,Entire serviced apartment,Entire home/apt,2,1,305.0,283,5.723585101952381,0
Chinatown,13,1,Entire serviced apartment,Entire home/apt,2,1,338.0,283,5.82600010738045,0
Financial District,13,1,Entire serviced apartment,Entire home/apt,2,1,305.0,283,5.723585101952381,0
Chinatown,13,1,Entire serviced apartment,Entire home/apt,2,1,249.0,283,5.521460917862246,0
Downtown/Civic Center,8,1,Room in boutique hotel,Private room,2,1,225.0,1624,5.420534999272286,0
Nob Hill,18,1,Entire rental unit,Entire home/apt,4,2,127.0,4554,4.852030263919617,0
Downtown/Civic Center,13,1,Entire serviced apartment,Entire home/apt,2,1,276.0,283,5.6240175061873385,0
Chinatown,13,1,Entire serviced apartment,Entire home/apt,2,1,249.0,283,5.521460917862246,0
Chinatown,13,1,Entire serviced apartment,Entire home/apt,4,2,422.0,283,6.0473721790462776,0
Financial District,13,1,Entire serviced apartment,Entire home/apt,4,2,422.0,283,6.0473721790462776,0
Chinatown,13,1,Entire serviced apartment,Entire home/apt,4,2,422.0,283,6.0473721790462776,0
Downtown/Civic Center,1,1,Entire rental unit,Entire home/apt,2,1,130.0,3793,4.875197323201151,0
Marina,1,1,Entire rental unit,Entire home/apt,4,2,279.0,3327,5.634789603169249,0
Castro/Upper Market,1,1,Entire rental unit,Entire home/apt,6,5,210.0,4546,5.351858133476067,1
Downtown/Civic Center,13,1,Entire serviced apartment,Entire home/apt,2,1,290.0,283,5.673323267171493,0
