neighbourhood,latitude,longitude,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price
Russian Hill,37.800541021692645,-122.42113057018037,2012-11-26,1,1,Entire condo,Entire home/apt,2,1,224.0,5.41610040220442
Mission,37.76155,-122.42421,2014-12-27,1,1,Private room in home,Private room,2,1,136.0,4.919980925828125
Mission,37.75794,-122.41911,2013-07-04,3,1,Private room in rental unit,Private room,1,1,150.0,5.017279836814924
Outer Sunset,37.7587,-122.5088,2012-04-22,1,1,Entire home,Entire home/apt,5,4,320.0,5.771441123130016
Haight Ashbury,37.76632,-122.45165,2011-08-29,1,1,Entire rental unit,Entire home/apt,2,1,155.0,5.049856007249537
Outer Sunset,37.75637,-122.49363,2012-10-30,4,1,Private room in home,Private room,2,1,99.0,4.605170185988092
Downtown/Civic Center,37.77786,-122.42292,2017-02-10,3,1,Entire serviced apartment,Entire home/apt,2,1,75.0,4.330733340286331
Pacific Heights,37.78855,-122.44154,2014-04-07,3,1,Private room in home,Private room,4,2,240.0,5.484796933490655
Downtown/Civic Center,37.77944,-122.42177,2015-10-18,1,1,Room in boutique hotel,Private room,4,2,83.0,4.430816798843313
Inner Richmond,37.78517,-122.46989,2013-07-04,2,1,Entire rental unit,Entire home/apt,2,1,169.0,5.135798437050262
Russian Hill,37.80213,-122.41516,2015-11-05,1,0,Entire condo,Entire home/apt,2,1,165.0,5.111987788356544
Noe Valley,37.74402,-122.43729,2012-02-18,1,1,Entire guest suite,Entire home/apt,2,1,119.0,4.787491742782046
Western Addition,37.78687,-122.43205,2015-11-05,1,1,Private room in guest suite,Private room,2,2,157.0,5.062595033026967
Ocean View,37.71841,-122.45258,2013-09-12,2,1,Entire guest suite,Entire home/apt,3,1,225.0,5.420534999272286
Parkside,37.74155,-122.50161,2012-06-23,1,1,Entire home,Entire home/apt,5,3,200.0,5.303304908059076
Chinatown,37.79153,-122.40736,2010-02-24,15,1,Room in boutique hotel,Private room,2,1,391.0,5.971261839790462
Noe Valley,37.74868,-122.42925,2015-08-30,1,1,Private room in home,Private room,2,2,250.0,5.5254529391317835
Haight Ashbury,37.76551,-122.44614,2011-02-02,2,1,Entire rental unit,Entire home/apt,4,1,105.0,4.663439094112067
South of Market,37.77957,-122.39116,2014-04-02,17,1,Entire condo,Entire home/apt,2,1,133.0,4.897839799950911
Nob Hill,37.79603,-122.41259,2015-11-12,1,0,Entire rental unit,Entire home/apt,4,2,175.0,5.170483995038151
Noe Valley,37.75227,-122.42525,2013-08-03,1,1,Private room in condo,Private room,1,1,139.0,4.941642422609304
Western Addition,37.77251,-122.43454,2015-04-04,1,1,Entire rental unit,Entire home/apt,7,4,527.0,6.269096283706261
Western Addition,37.77708,-122.44271,2012-04-11,1,1,Entire rental unit,Entire home/apt,3,1,110.0,4.709530201312334
Noe Valley,37.75458,-122.43141,2015-09-22,1,1,Entire rental unit,Entire home/apt,2,1,130.0,4.875197323201151
Mission,37.75146,-122.41776,2011-01-09,1,1,Private room in rental unit,Private room,1,1,80.0,4.394449154672439
Chinatown,37.79581,-122.40842,2013-08-12,2,1,Entire condo,Entire home/apt,4,2,499.0,6.214608098422191
Outer Richmond,37.77459,-122.48206,2019-03-17,1,1,Entire home,Entire home/apt,4,4,493.0,6.202535517187923
Inner Richmond,37.786109,-122.471726,2014-05-03,1,1,Entire rental unit,Entire home/apt,8,4,419.0,6.040254711277414
Inner Richmond,37.77689,-122.45594,2012-06-27,1,1,Entire home,Entire home/apt,6,3,450.0,6.111467339502679
Mission,37.75044,-122.42325,2015-11-23,1,1,Entire condo,Entire home/apt,4,2,154.0,5.043425116919247
Outer Sunset,37.76285,-122.49951,2015-11-23,1,1,Entire rental unit,Entire home/apt,2,2,150.0,5.017279836814924
Western Addition,37.77194,-122.43583,2012-12-18,2,1,Private room in townhouse,Private room,2,1,185.0,5.225746673713202
Parkside,37.74793,-122.47477,2014-09-11,1,1,Entire rental unit,Entire home/apt,10,5,443.0,6.095824562432225
North Beach,37.79945,-122.40797,2012-11-04,1,1,Entire rental unit,Entire home/apt,4,2,350.0,5.860786223465865
Downtown/Civic Center,37.78622,-122.41626,2015-11-29,7,1,Private room in rental unit,Private room,2,1,95.0,4.564348191467836
Western Addition,37.77708,-122.43051,2014-01-12,1,1,Private room in rental unit,Private room,1,1,60.0,4.110873864173311
Excelsior,37.72013,-122.43096,2015-09-14,2,1,Entire rental unit,Entire home/apt,5,3,100.0,4.61512051684126
Downtown/Civic Center,37.7868,-122.41267,2011-05-21,1,0,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924
Bernal Heights,37.74403,-122.41755,2012-06-27,1,1,Private room in home,Private room,2,2,80.0,4.394449154672439
Mission,37.74971,-122.4155,2013-07-02,1,1,Entire home,Entire home/apt,10,4,550.0,6.311734809152915
Inner Sunset,37.76131,-122.45204,2014-05-09,1,1,Entire home,Entire home/apt,6,4,500.0,6.2166061010848646
Downtown/Civic Center,37.78678,-122.40925,2016-10-19,19,0,Private room in rental unit,Private room,2,1,70.0,4.2626798770413155
Russian Hill,37.79752,-122.42233,2015-12-10,1,1,Entire condo,Entire home/apt,5,3,242.0,5.493061443340548
Potrero Hill,37.7639,-122.39472,2012-12-22,1,1,Entire rental unit,Entire home/apt,4,2,103.0,4.6443908991413725
Mission,37.7572,-122.40871,2011-06-26,2,1,Entire rental unit,Entire home/apt,4,2,241.0,5.488937726156687
Haight Ashbury,37.76228,-122.45161,2015-11-02,1,1,Entire rental unit,Entire home/apt,2,1,224.0,5.41610040220442
Noe Valley,37.75154,-122.42581,2011-06-23,1,1,Entire condo,Entire home/apt,6,4,200.0,5.303304908059076
Pacific Heights,37.78992,-122.43446,2012-01-31,3,1,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924
Western Addition,37.77019,-122.43649,2013-07-08,2,1,Entire home,Entire home/apt,2,1,185.0,5.225746673713202
Castro/Upper Market,37.76088,-122.43916,2015-08-03,2,1,Entire rental unit,Entire home/apt,8,5,716.0,6.57507584059962
Noe Valley,37.75138,-122.4413,2015-02-09,1,1,Entire home,Entire home/apt,2,1,147.0,4.997212273764115
Parkside,37.74522,-122.49018,2016-08-08,1,1,Entire rental unit,Entire home/apt,2,2,125.0,4.836281906951478
Western Addition,37.78461,-122.4446,2010-02-16,1,1,Entire rental unit,Entire home/apt,5,3,300.0,5.707110264748875
Haight Ashbury,37.76836,-122.44699,2015-04-11,2,1,Entire rental unit,Entire home/apt,3,2,500.0,6.2166061010848646
Downtown/Civic Center,37.78923,-122.40765,2015-12-18,4,1,Room in boutique hotel,Private room,2,1,102.0,4.634728988229636
Haight Ashbury,37.7592,-122.44888,2012-06-28,1,1,Entire guest suite,Entire home/apt,6,3,250.0,5.5254529391317835
Nob Hill,37.79083,-122.41496,2009-09-15,22,1,Entire rental unit,Entire home/apt,2,1,101.0,4.624972813284271
Mission,37.75011,-122.41426,2011-05-19,1,0,Entire guesthouse,Entire home/apt,2,1,110.0,4.709530201312334
Outer Mission,37.73218,-122.43726,2012-07-01,1,1,Private room in home,Private room,1,1,72.0,4.290459441148391
Inner Sunset,37.76459,-122.45483,2012-04-04,1,1,Entire serviced apartment,Entire home/apt,3,2,149.0,5.0106352940962555
Marina,37.80144,-122.43865,2012-07-08,1,1,Entire home,Entire home/apt,8,4,1149.0,7.047517221357296
Mission,37.76091,-122.42393,2012-07-10,1,1,Entire home,Entire home/apt,4,2,400.0,5.993961427306569
Russian Hill,37.79769,-122.41155,2012-02-03,3,1,Entire rental unit,Entire home/apt,5,4,275.0,5.62040086571715
Mission,37.75,-122.4235,2011-06-21,1,1,Entire home,Entire home/apt,6,3,325.0,5.786897381366708
Mission,37.75252,-122.42474,2013-07-08,1,1,Entire guest suite,Entire home/apt,2,1,116.0,4.762173934797756
Downtown/Civic Center,37.78964,-122.40968,2015-12-18,4,1,Room in boutique hotel,Private room,2,2,101.0,4.624972813284271
South of Market,37.78402,-122.39853,2014-11-19,2,1,Entire condo,Entire home/apt,4,2,295.0,5.69035945432406
